type,1,2,3,4,5,6,7,8,9,10,
A,1.0,1.45818545098,-0.634126413398,1.33711658131,0.0,7.80055646372,2.98818081665,0.974005450649,-0.372909051845,-1.47693912588,
C,0.0,0.800003949942,-0.705563196094,0.199582537751,1.0,2.38761835225,6.44930851816,8.61264579675,1.42350634305,-0.685843226044,
A,0.0,1.18923378918,1.2391448754,0.776383262703,0.0,6.13487778525,2.29974962072,-0.150885640476,1.59471625337,-0.597920625377,
C,0.0,-1.99462740391,1.63238570334,0.080725160073,0.0,2.65272412659,6.75186406965,8.39944430959,1.23048635109,1.77226479076,
D,1.0,1.08751794309,-0.394868639061,-1.96136563102,0.0,3.6087925737,6.49869898582,4.46398295734,-0.541994799537,0.326328511512,
A,1.0,-1.20151700668,0.95229759091,1.5558672749,1.0,0.648112644495,2.88710222634,2.05298472303,-1.90983040068,0.222544041308,
A,1.0,0.569831988804,0.236275384241,-0.906338117668,1.0,0.79344569811,2.61187575043,-0.647104188568,1.03876594642,-0.718962800445,
D,0.0,-0.854996737077,-1.41094239626,1.20508220228,1.0,2.97987403845,7.52951654331,4.4112263105,-0.927776316725,1.01864826418,
A,1.0,-0.75759103085,0.313225553028,-1.3158230742,1.0,1.34417552544,2.66300324301,-0.763944810455,-0.625334281916,-0.201721857174,
B,0.0,0.91565624143,1.81717513447,0.622076363018,0.0,4.23266747204,2.29851361248,9.29824171588,0.675617660278,-0.64675397584,
D,1.0,0.389091323203,-1.62268583211,0.843655447895,1.0,5.7818924798,6.95899619603,3.24634430903,1.69983818147,-0.286802393303,
B,0.0,-1.15568337131,-1.1668120442,-1.43898900267,1.0,2.90257505658,2.62562158833,7.87011395973,0.434250886424,-1.31662107899,
D,1.0,-1.56390079944,-0.749320859124,-0.314581727515,0.0,3.04445727997,5.1288104224,4.42634563181,-0.295407788102,-1.97147370796,
A,1.0,1.62527895351,0.675379387388,0.0319043343048,1.0,4.33711872576,2.70725210788,-0.25775447967,1.72437832174,-1.4804540071,
D,0.0,1.28709151329,0.438130890716,0.172972761887,0.0,2.5015670422,5.82311013246,4.1931536744,1.20671670209,0.519179003518,
B,1.0,-0.697615814904,0.732417650435,1.90083711574,1.0,3.92247705305,2.78640891203,7.88206280779,-1.77625564255,0.934296259961,
A,1.0,0.936378256774,-0.0734573546435,-1.18282920423,1.0,1.41334778273,3.09100280161,-0.675789811683,-0.248128842976,-1.05347946004,
D,1.0,1.01633998908,1.06690595294,1.05042810739,0.0,4.94131288439,5.8584709199,4.35488759559,-0.812025482522,-0.836956312088,
D,0.0,-0.399542481503,-0.511911979461,0.459375393422,1.0,2.60243709276,7.40649119621,5.04430885967,-0.633263171771,-0.786361412353,
A,1.0,-1.16649831493,-0.818667073962,1.32040555191,0.0,4.58127225886,2.57168771827,-0.809840380605,-1.34271632477,-0.661625384048,
C,0.0,-1.23314678268,0.562737218652,-0.345702638606,0.0,5.16362218499,7.9083513832,8.60934441035,0.00749659957008,1.97523834805,
D,0.0,-1.33240939498,1.14994827325,-1.66089877765,0.0,3.68899315885,7.01690381453,4.82004021937,1.69737601375,-1.02883562051,
D,0.0,0.231499379101,0.222638033651,1.92201449673,0.0,3.82375537322,7.40217261771,3.83508675128,1.97421510893,-0.58585488444,
B,1.0,0.364596448722,-0.724638510777,1.59693247175,0.0,2.49191468174,2.76685650587,10.7905407714,-1.43938304623,-1.78337862675,
D,0.0,1.81416633481,1.49925612275,0.275448342521,1.0,2.07022909306,7.04567987031,4.39220730725,1.79022643583,0.801911668996,
A,0.0,1.7945696717,1.28226245681,1.43078284669,0.0,2.56011644999,3.01616419102,-1.37092042848,1.28652429853,-0.0763439563795,
B,1.0,0.245853318052,-1.65249013095,-1.63641049866,1.0,0.416766814822,2.84427671855,8.49942285762,1.03464268591,-1.88128929921,
